word,stars,level,alt_spelling,derived
tap,**,중고공통,,
tape,*,초등,,
target,**,중고공통,,
task,,선택,,
taste,*,초등,,
tax,**,중고공통,,
taxi,*,초등,,
tea,**,중고공통,,
teach,*,초등,,
team,*,초등,,
tear,**,중고공통,,
tease,,선택,,
technique,**,중고공통,technic,
technology,**,중고공통,,
teenage,**,중고공통,,
telegraph,,선택,,
telephone,*,초등,phone,
television,*,초등,,
tell,*,초등,,
temperature,**,중고공통,,
temple,,선택,,
temporary,,선택,,
tempt,,선택,,
ten,*,초등,,
tenant,,선택,,
tend,**,중고공통,,
tender,,선택,,
tennis,*,초등,,
tense,**,중고공통,,
tent,*,초등,,
term,**,중고공통,,
terminal,,선택,,
terminate,,선택,,
terrace,,선택,,
terrible,**,중고공통,,
terrific,,선택,,
territory,,선택,,
terror,,선택,,terrorist
test,*,초등,,
text,**,중고공통,,
textbook,*,초등,,
than,*,초등,,
thank,*,초등,,
that,*,초등,,
the,*,초등,,
theater,**,중고공통,theatre,
theme,,선택,,
then,**,중고공통,,
theory,**,중고공통,,
therapy,,선택,,
there,*,초등,,
therefore,**,중고공통,,
they,*,초등,,
thick,**,중고공통,,
thief,**,중고공통,,
thin,**,중고공통,,
thing,*,초등,,
think,*,초등,,
third,*,초등,,
thirst,*,초등,,
thirteen,*,초등,,
thirty,*,초등,,
this,*,초등,,
thorough,,선택,,
though,**,중고공통,,
thousand,**,중고공통,,
thread,,선택,,
threat,**,중고공통,,
three,*,초등,,
thrill,,선택,,
throat,**,중고공통,,
through,**,중고공통,,
throw,**,중고공통,,
thumb,,선택,,
thus,**,중고공통,,
tick,,선택,,
ticket,*,초등,,
tide,**,중고공통,,tidy
tie,**,중고공통,,
tiger,*,초등,,
tight,**,중고공통,,
till,**,중고공통,,
timber,,선택,,
time,*,초등,,
tin,**,중고공통,,
tiny,**,중고공통,,
tip,**,중고공통,,
tire,*,초등,,tired
tissue,,선택,,
title,**,중고공통,,entitle
to,*,초등,,
toast,**,중고공통,,
today,*,초등,,
toe,**,중고공통,,
together,*,초등,,
toilet,**,중고공통,,
tomato,*,초등,,
tomorrow,*,초등,,
tone,**,중고공통,,
tongue,**,중고공통,,
tonight,*,초등,,
too,*,초등,,
tool,**,중고공통,,
tooth,*,초등,,
top,*,초등,,
topic,**,중고공통,,
torture,,선택,,
toss,,선택,,
total,**,중고공통,,
touch,*,초등,,
tough,**,중고공통,,
tour,**,중고공통,,
toward,**,중고공통,towards,
towel,**,중고공통,,
tower,**,중고공통,,
town,*,초등,,
toxic,,선택,,
toy,*,초등,,
trace,**,중고공통,,
track,*,초등,,
trade,**,중고공통,,
tradition,**,중고공통,,
traffic,**,중고공통,,
tragic,,선택,,
trail,,선택,,
train,*,초등,,
transact,,선택,,
transfer,**,중고공통,,
transform,,선택,,
transition,,선택,,
translate,,선택,,
transmit,,선택,,
transport,**,중고공통,,transportation
trap,**,중고공통,,
travel,*,초등,,
tray,**,중고공통,,
treasure,,선택,,
treat,**,중고공통,,
treaty,,선택,,
tree,*,초등,,
tremendous,,선택,,
trend,,선택,,
triangle,**,중고공통,,
tribe,,선택,,
trick,**,중고공통,,
trigger,,선택,,
trim,,선택,,
trip,*,초등,,
triumph,,선택,,
troop,,선택,,
trouble,**,중고공통,,
truck,*,초등,,
true,*,초등,,
trunk,**,중고공통,,
trust,**,중고공통,,
truth,**,중고공통,,
try,*,초등,,trial
tube,,선택,,
tune,**,중고공통,,
tunnel,,선택,,
turn,*,초등,,
turnover,,선택,,
twelve,*,초등,,
twenty,*,초등,,
twenty-first,*,초등,,
twenty-second,*,초등,,
twenty-third,*,초등,,
twice,*,초등,,
twin,**,중고공통,,
twist,**,중고공통,,
two,*,초등,,
type,*,초등,,
ugly,*,초등,,
ultimate,,선택,,
umbrella,*,초등,,
uncle,*,초등,,
under,*,초등,,
undergo,,선택,,
underlie,,선택,,
undermine,,선택,,
understand,*,초등,,
undertake,,선택,,
uniform,**,중고공통,,
unify,,선택,,
unique,,선택,,
unit,**,중고공통,,
unite,**,중고공통,,union
universe,,선택,,
university,**,중고공통,,
unless,**,중고공통,,
until,**,중고공통,,
up,*,초등,,
update,,선택,,
upon,**,중고공통,,
upper,**,중고공통,,
upset,**,중고공통,,
upward,,선택,upwards,
urban,,선택,,
urge,,선택,,urgent
use,*,초등,,usual
utilize,,선택,utilise,
utter,,선택,,
vacate,,선택,,vacation
vaccine,,선택,,
vacuum,,선택,,
vague,,선택,,
valid,,선택,,
valley,**,중고공통,,
value,**,중고공통,,
van,**,중고공통,,
vanish,,선택,,
various,**,중고공통,,
vary,**,중고공통,,
vast,,선택,,
vegetable,*,초등,,
vehicle,**,중고공통,,
venture,,선택,,
verb,,선택,,verbal
verse,,선택,,
version,**,중고공통,,
versus,,선택,,
vertical,,선택,,
very,*,초등,,
vessel,,선택,,
veterinarian,,선택,,
via,,선택,,
vice,,선택,,
victim,**,중고공통,,
victory,,선택,,
video,*,초등,,
view,**,중고공통,,"interview, review"
vigor,,선택,,vigorous
villa,**,중고공통,,
village,**,중고공통,,
violent,**,중고공통,,
violin,*,초등,,
virgin,,선택,,
virtue,,선택,,virtual
virus,,선택,,
visible,,선택,,
vision,**,중고공통,,
visit,*,초등,,
visual,,선택,,
vital,,선택,,
vivid,,선택,,
vocabulary,,선택,,
vocation,,선택,,
voice,*,초등,,
volume,**,중고공통,,
volunteer,**,중고공통,,
vote,**,중고공통,,
wage,**,중고공통,,
wait,*,초등,,
wake,*,초등,,
walk,*,초등,,
wall,*,초등,,
wander,,선택,,
want,*,초등,,
war,*,초등,,
warehouse,,선택,,
warm,*,초등,,
warn,**,중고공통,,
warrant,,선택,,
wash,*,초등,,
waste,**,중고공통,,
watch,*,초등,,
water,*,초등,,
watermelon,*,초등,,
wave,**,중고공통,,
way,*,초등,,
we,*,초등,,
weak,**,중고공통,,
wealth,,선택,,
weapon,**,중고공통,,
wear,*,초등,,
weather,*,초등,,
weave,,선택,,
website,*,초등,,
wedding,*,초등,,
weed,,선택,,
week,*,초등,,
weekend,*,초등,,
weigh,**,중고공통,,
weight,*,초등,,
weird,,선택,,
welcome,*,초등,,
welfare,,선택,,
well,*,초등,,
west,*,초등,,
wet,*,초등,,
whale,**,중고공통,,
what,*,초등,,
wheat,,선택,,
wheel,**,중고공통,,
when,*,초등,,
where,*,초등,,
whereas,,선택,,
whether,**,중고공통,,
which,**,중고공통,,
while,**,중고공통,,
whip,,선택,,
whisper,**,중고공통,,
whistle,**,중고공통,,
white,*,초등,,
who,*,초등,,
whole,**,중고공통,,
why,*,초등,,
wicked,,선택,,
wide,**,중고공통,,
wife,*,초등,,
wild,**,중고공통,,
will,*,초등,,
win,*,초등,,
wind,*,초등,,
window,*,초등,,
wine,*,초등,,
wing,**,중고공통,,
winter,*,초등,,
wipe,**,중고공통,,
wire,**,중고공통,,
wise,**,중고공통,,
wish,*,초등,,
wit,,선택,,
with,*,초등,,
withdraw,,선택,,
within,**,중고공통,,
without,**,중고공통,,
witness,,선택,,
woman,*,초등,,
wonder,**,중고공통,,
wood,*,초등,,
wool,**,중고공통,,
word,*,초등,,
work,*,초등,,
world,*,초등,,
worry,*,초등,,
worship,,선택,,
worth,**,중고공통,,
would,**,중고공통,,
wound,**,중고공통,,
wrap,**,중고공통,,
wreck,,선택,,
write,*,초등,,
wrong,*,초등,,
year,*,초등,,
yell,**,중고공통,,
yellow,*,초등,,
yes,*,초등,yeah / yep,
yesterday,*,초등,,
yet,**,중고공통,,
yield,,선택,,
you,*,초등,,
young,*,초등,,
zebra,**,중고공통,,
zero,**,중고공통,,
zone,,선택,,
zoo,*,초등,,
